City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
462,Maryville,US,84.45,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
471,Ganzhou,CN,81.57,28.8184,115.4327,Zhanqian Grand Hotel
472,Sao Joao Da Barra,BR,78.89,-21.6403,-41.0511,Pousada Porto De Canoas
473,Ciudad Del Maiz,MX,84.36,22.4,-99.6,Hotel Casona del General
475,Praia Da Vitoria,PT,80.85,38.7333,-27.0667,Hotel Branco I
476,Altamira,BR,87.58,-3.2033,-52.2064,Requinte Hotel
477,Bumba,CD,75.52,2.1833,22.4667,Père Carlos
483,Kasongo-Lunda,CD,83.19,-6.4667,16.8167,
490,Manacapuru,BR,84.0,-3.2997,-60.6206,Novo Hotel
491,Kieta,PG,79.29,-6.2167,155.6333,Uruna Bay Retreat
493,Tukrah,LY,79.57,32.5341,20.5791,Lagrota restaurant
495,Hat Yai,TH,80.78,7.0084,100.4767,New Season Hotel
496,Urumqi,CN,76.15,43.801,87.6005,Hua Ling Grand Hotel Urumqi
501,Tabou,CI,77.5,4.423,-7.3528,hotêl doufoulougou
503,Pizarro,CO,76.64,4.9533,-77.366,Hotel Limonar
504,Atikokan,CA,75.7,48.7555,-91.6216,Quetico Inn (formerly Radisson)
505,Bitung,ID,76.05,1.4451,125.1824,K2 Lembeh
506,Buchanan,LR,77.83,5.8808,-10.0467,Kamaneahn Hotel Inc
507,Miles City,US,88.77,46.4083,-105.8406,FairBridge Inn & Suites Miles City
509,Mangochi,MW,75.07,-14.4782,35.2645,Fort Johnstone Hotel
510,Goderich,CA,75.52,43.7501,-81.7165,Harmony Inn
515,Jiaonan,CN,75.36,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
520,Kuching,MY,75.42,1.55,110.3333,Hilton Kuching
521,Olecko,PL,76.69,54.0337,22.507,Hotel Colosseum
522,Ende,ID,76.01,-8.8432,121.6623,Dwi Putra Hotel - Ende
524,Vila,PT,80.71,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
530,Axim,GH,77.59,4.8699,-2.2405,Axim Beach Resort And Spa
535,Poum,NC,76.14,-20.2333,164.0167,
537,Suzhou,CN,80.33,31.3114,120.6181,Holiday Inn Jasmine Suzhou
538,Kanluran,PH,80.15,14.4167,120.85,Mount Sea Resort
545,Suamico,US,84.97,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
549,Francisco Beltrao,BR,75.69,-26.0811,-53.055,Cristal Palace Hotel
552,Surt,LY,81.05,31.2089,16.5887,الهادي ابوشعاله سرت
554,Wichita Falls,US,88.25,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
555,Gwadar,PK,83.16,25.1216,62.3254,Sadaf Resort
557,Bandarbeyla,SO,76.23,9.4942,50.8122,JABIR HOTEL
559,Dingle,PH,77.85,10.9995,122.6711,SEGAYA PROPERTY
